Agent_Breed,Policy_ID,Age,Social_Grade,Payment_at_Purchase,Attribute_Brand,Attribute_Price,Attribute_Promotions,Auto_Renew,Inertia_for_Switch
Breed_NC,132802001.0,81,3,250,25.3,16.6,5.1,0,4
Breed_NC,132802002.0,81,3,250,25.3,16.6,5.1,0,9
Breed_NC,132802003.0,81,3,250,25.3,16.6,5.1,0,9
Breed_NC,132802004.0,81,3,250,25.3,16.6,5.1,0,1
Breed_NC,132802007.0,81,3,250,25.3,16.6,5.1,0,9
Breed_NC,132802010.0,81,3,250,25.3,16.6,5.1,0,0
Breed_NC,132802011.0,81,3,250,25.3,16.6,5.1,0,0
Breed_NC,132802012.0,81,3,250,25.3,16.6,5.1,0,5
Breed_NC,132802013.0,81,3,250,25.3,16.6,5.1,0,6
Breed_NC,132802014.0,81,3,250,25.3,16.6,5.1,0,5
Breed_NC,132802016.0,81,3,250,25.3,16.6,5.1,0,6
Breed_NC,24910601001.0,83,3,375,26.2,21.1,6.7,0,1
Breed_NC,24910601002.0,83,3,375,26.2,21.1,6.7,0,4
Breed_NC,24910601006.0,83,3,375,26.2,21.1,6.7,0,8
Breed_NC,24910601012.0,83,3,375,26.2,21.1,6.7,0,8
Breed_NC,24910601014.0,83,3,375,26.2,21.1,6.7,0,5
Breed_NC,24910601015.0,83,3,375,26.2,21.1,6.7,0,4
Breed_NC,101472001.0,71,4,250,22.7,14.1,3.9,0,8
Breed_NC,101472003.0,71,4,250,22.7,14.1,3.9,0,5
Breed_NC,101472006.0,71,4,250,22.7,14.1,3.9,0,9
Breed_NC,101472007.0,71,4,250,22.7,14.1,3.9,0,4
Breed_NC,101472008.0,71,4,250,22.7,14.1,3.9,0,6
Breed_NC,101472013.0,71,4,250,22.7,14.1,3.9,0,2
Breed_NC,101472014.0,71,4,250,22.7,14.1,3.9,0,8
Breed_NC,101472016.0,71,4,250,22.7,14.1,3.9,0,2
Breed_NC,101472018.0,71,4,250,22.7,14.1,3.9,0,2
Breed_NC,135916001.0,84,4,250,11.9,43.8,4.6,0,4
Breed_NC,135916003.0,84,4,250,11.9,43.8,4.6,0,7
Breed_NC,135916004.0,84,4,250,11.9,43.8,4.6,0,7
Breed_NC,135916005.0,84,4,250,11.9,43.8,4.6,0,3
Breed_NC,135916007.0,84,4,250,11.9,43.8,4.6,0,6
Breed_NC,135916010.0,84,4,250,11.9,43.8,4.6,0,0
Breed_NC,135916016.0,84,4,250,11.9,43.8,4.6,0,9
Breed_NC,135916017.0,84,4,250,11.9,43.8,4.6,0,7
Breed_NC,135916018.0,84,4,250,11.9,43.8,4.6,0,2
Breed_NC,26061188001.0,84,2,150,5.3,74.8,1.8,0,3
Breed_NC,26061188004.0,84,2,150,5.3,74.8,1.8,0,6
Breed_NC,26061188005.0,84,2,150,5.3,74.8,1.8,0,5
Breed_NC,26061188006.0,84,2,150,5.3,74.8,1.8,0,7
Breed_NC,26061188008.0,84,2,150,5.3,74.8,1.8,0,2
Breed_NC,26061188009.0,84,2,150,5.3,74.8,1.8,0,3
Breed_NC,26061188010.0,84,2,150,5.3,74.8,1.8,0,2
Breed_NC,26061188013.0,84,2,150,5.3,74.8,1.8,0,9
Breed_NC,26061188014.0,84,2,150,5.3,74.8,1.8,0,3
Breed_NC,26061188017.0,84,2,150,5.3,74.8,1.8,0,4
Breed_NC,26061188018.0,84,2,150,5.3,74.8,1.8,0,5
Breed_NC,131004001.0,70,2,250,18.9,10.4,1.9,0,7
Breed_NC,131004004.0,70,2,250,18.9,10.4,1.9,0,9
Breed_NC,131004006.0,70,2,250,18.9,10.4,1.9,0,7
Breed_NC,131004007.0,70,2,250,18.9,10.4,1.9,0,6
Breed_NC,131004009.0,70,2,250,18.9,10.4,1.9,0,7
Breed_NC,131004010.0,70,2,250,18.9,10.4,1.9,0,3
Breed_NC,131004011.0,70,2,250,18.9,10.4,1.9,0,7
Breed_NC,131004012.0,70,2,250,18.9,10.4,1.9,0,3
Breed_NC,131004013.0,70,2,250,18.9,10.4,1.9,0,1
Breed_NC,131004014.0,70,2,250,18.9,10.4,1.9,0,3
Breed_NC,135861004.0,84,3,150,9.4,81.2,1.9,0,9
